x,y,z
1,29.5,1.91
1,29.48,1.93
1,29.57,1.92
1,29.71,1.92
1,29.77,1.91
1,29.72,1.93
1,29.71,1.92
1,29.64,1.92
1,29.65,1.94
1,29.59,1.94
1,29.78,1.93
1,29.78,1.93
1,29.63,1.92
1,29.54,1.91
1,29.53,1.92
1,29.35,1.92
1,28.97,1.92
1,28.78,1.93
1,28.82,1.93
1,28.82,1.93
1,28.87,1.91
1,29.26,1.91
1,29.59,1.91
1,29.63,1.93
1,29.15,1.93
1,29.4,1.91
1,29.55,1.91
1,29.6,1.9
1,29.58,1.91
1,29.56,1.92
1,29.51,1.91
1,29.28,1.93
1,29.51,1.93
1,29.5,1.92
1,29.51,1.93
1,29.29,1.92
1,29.26,1.95
1,29.32,1.93
1,29.36,1.93
1,29.35,1.93
1,29.3,1.91
1,29.27,1.94
1,29.26,1.92
1,29.25,1.92
1,29.18,1.93
1,29.16,1.92
1,29.14,1.94
1,29.19,1.92
1,29.25,1.93
1,29.25,1.94
1,29.29,1.93
1,29.27,1.91
1,29.21,1.92
1,29.19,1.93
1,29.18,1.92
1,29.2,1.92
1,29.14,1.93
1,28.96,1.92
1,28.97,1.92
1,29.04,1.91
1,29.21,1.91
1,29.17,1.91
1,29.06,1.91
1,28.77,1.91
1,28.76,1.94
1,28.71,1.93
1,28.69,1.93
1,29.25,1.92
1,29.55,1.93
1,29.55,1.92
1,29.51,1.93
1,29.57,1.91
1,30.1,1.9
1,30.1,1.93
1,30.12,1.93
1,29.25,1.94
1,29.19,1.93
1,29.41,1.93
1,29.43,1.95
1,29.58,1.91
1,29.53,1.92
1,29.54,1.92
1,29.53,1.93
1,29.53,1.91
1,29.44,1.91
1,29.21,1.93
1,29.23,1.92
1,29.23,1.95
1,29.21,1.92
1,29.75,1.92
1,29.93,1.92
1,29.8,1.93
1,29.82,1.93
1,29.83,1.92
1,29.82,1.89
1,29.59,1.91
1,29.44,1.93
1,29.48,1.92
1,29.47,1.89
1,29.21,1.92
1,29.2,1.91
1,29.39,1.92
1,29.39,1.9
1,29.55,1.93
1,29.64,1.91
1,29.67,1.91
1,29.35,1.92
1,40.75,3.76
1,40.78,3.76
1,40.8,3.76
1,40.71,3.75
1,40.71,3.74
1,40.92,3.75
1,40.88,3.75
1,41.01,3.73
1,40.79,3.75
1,40.78,3.73
1,40.83,3.75
1,40.86,3.73
1,40.8,3.74
1,40.9,3.74
1,40.88,3.77
1,40.94,3.76
1,40.96,3.79
1,40.92,3.75
1,40.91,3.75
1,40.94,3.76
1,41.01,3.74
1,40.99,3.76
1,41.04,3.76
1,41.1,3.77
1,41.07,3.76
1,41.15,3.74
1,40.98,3.76
1,40.94,3.75
1,40.94,3.74
1,41.29,3.73
1,41.28,3.76
1,41.22,3.74
1,40.99,3.75
1,41.03,3.74
1,41.05,3.77
1,40.78,3.76
1,40.74,3.74
1,40.6,3.77
1,40.58,3.76
1,40.9,3.72
1,40.96,3.73
1,40.81,3.72
1,40.63,3.73
1,40.59,3.75
1,40.91,3.76
1,40.97,3.77
1,40.88,3.78
1,40.98,3.77
1,41.17,3.76
1,41.05,3.73
1,41.15,3.74
1,41.21,3.77
1,41.18,3.78
1,41.18,3.75
1,41.22,3.76
1,41.27,3.8
1,41.53,3.8
1,41.51,3.79
1,41.42,3.77
1,41.15,3.77
1,41.01,3.78
1,41.14,3.78
1,40.89,3.76
1,40.32,3.77
1,40.34,3.77
1,40.49,3.76
1,41.07,3.78
1,41.07,3.77
1,41.11,3.76
1,40.92,3.76
1,40.85,3.75
1,40.86,3.77
1,41.28,3.77
1,41.3,3.77
1,41.15,3.75
1,41.19,3.76
1,41.09,3.76
1,41.11,3.76
1,41.12,3.76
1,40.75,3.75
1,40.77,3.74
1,40.79,3.74
1,40.83,3.74
1,40.78,3.75
